#TYPE System.Management.Automation.PSCustomObject
"Time","Computer","ResponseTime"
"2020-04-17 11:58:31","8.8.8.8","26"
"2020-04-17 11:58:33","8.8.8.8","23"
"2020-04-17 11:58:35","8.8.8.8","21"
"2020-04-17 11:58:36","8.8.8.8","23"
"2020-04-17 11:58:37","8.8.8.8","22"
"2020-04-17 11:58:38","8.8.8.8","22"
"2020-04-17 11:58:39","8.8.8.8","25"
"2020-04-17 11:58:41","8.8.8.8","22"
"2020-04-17 11:58:42","8.8.8.8","22"
"2020-04-17 11:58:43","8.8.8.8","26"
"2020-04-17 11:58:44","8.8.8.8","25"
"2020-04-17 11:58:45","8.8.8.8","25"
"2020-04-17 11:58:47","8.8.8.8","22"
"2020-04-17 11:58:48","8.8.8.8","25"
"2020-04-17 11:58:49","8.8.8.8","25"
"2020-04-17 11:58:50","8.8.8.8","22"
"2020-04-17 11:58:51","8.8.8.8","23"
"2020-04-17 11:58:53","8.8.8.8","24"
"2020-04-17 11:58:54","8.8.8.8","22"
"2020-04-17 11:58:55","8.8.8.8","45"
"2020-04-17 11:58:56","8.8.8.8","28"
"2020-04-17 11:58:57","8.8.8.8","22"
"2020-04-17 11:58:59","8.8.8.8","21"
"2020-04-17 11:59:00","8.8.8.8","54"
"2020-04-17 11:59:01","8.8.8.8","76"
"2020-04-17 11:59:02","8.8.8.8","77"
"2020-04-17 11:59:04","8.8.8.8","21"
"2020-04-17 11:59:05","8.8.8.8","22"
"2020-04-17 11:59:06","8.8.8.8","63"
"2020-04-17 11:59:07","8.8.8.8","73"
"2020-04-17 11:59:09","8.8.8.8","21"
"2020-04-17 11:59:10","8.8.8.8","22"
"2020-04-17 11:59:12","8.8.8.8","60"
"2020-04-17 11:59:13","8.8.8.8","21"
"2020-04-17 11:59:14","8.8.8.8","22"
"2020-04-17 11:59:15","8.8.8.8","63"
"2020-04-17 11:59:16","8.8.8.8","21"
"2020-04-17 11:59:18","8.8.8.8","23"
"2020-04-17 11:59:20","8.8.8.8","61"
"2020-04-17 11:59:21","8.8.8.8","19"
"2020-04-17 11:59:22","8.8.8.8","25"
"2020-04-17 11:59:23","8.8.8.8","24"
"2020-04-17 16:56:07","8.8.8.8","23"
"2020-04-17 16:56:09","8.8.8.8","25"
"2020-04-17 16:56:11","8.8.8.8","22"
"2020-04-17 16:56:12","8.8.8.8","23"
"2020-04-17 16:56:13","8.8.8.8","23"
"2020-04-17 16:56:14","8.8.8.8","23"
"2020-04-17 16:57:39","8.8.8.8","23"
"2020-04-17 16:57:41","8.8.8.8","22"
"2020-04-17 16:57:42","8.8.8.8","74"
"2020-04-17 16:57:43","8.8.8.8","29"
"2020-04-17 16:57:44","8.8.8.8","23"
"2020-04-17 16:57:46","8.8.8.8","86"
"2020-04-17 16:57:47","8.8.8.8","61"
