#TYPE System.Management.Automation.PSCustomObject
"Time","Computer","ResponseTime"
"2020-04-17 17:17:50","192.168.98.1","1"
"2020-04-17 17:17:53","192.168.98.1","2"
"2020-04-17 17:17:54","192.168.98.1","4"
"2020-04-17 17:17:55","192.168.98.1","8"
"2020-04-17 17:17:56","192.168.98.1","1"
"2020-04-17 17:17:58","192.168.98.1","2"
"2020-04-17 17:17:59","192.168.98.1","2"
"2020-04-17 17:18:00","192.168.98.1","2"
"2020-04-17 17:18:01","192.168.98.1","2"
"2020-04-17 17:18:02","192.168.98.1","1"
"2020-04-17 17:18:04","192.168.98.1","2"
"2020-04-17 17:18:05","192.168.98.1","2"
"2020-04-17 17:18:06","192.168.98.1","2"
"2020-04-17 17:18:07","192.168.98.1","1"
"2020-04-17 17:18:08","192.168.98.1","1"
"2020-04-17 17:18:10","192.168.98.1","2"
"2020-04-17 17:18:11","192.168.98.1","2"
"2020-04-17 17:18:12","192.168.98.1","1"
"2020-04-17 17:18:13","192.168.98.1","5"
"2020-04-17 17:18:15","192.168.98.1","2"
"2020-04-17 17:18:16","192.168.98.1","4"
"2020-04-17 17:18:17","192.168.98.1","2"
"2020-04-17 17:18:18","192.168.98.1","1"
"2020-04-17 17:18:20","192.168.98.1","2"
"2020-04-17 17:18:21","192.168.98.1","5"
"2020-04-17 17:18:22","192.168.98.1","4"
"2020-04-17 17:18:23","192.168.98.1","3"
"2020-04-17 17:18:24","192.168.98.1","2"
"2020-04-17 17:18:26","192.168.98.1","2"
"2020-04-17 17:18:27","192.168.98.1","6"
"2020-04-17 17:18:28","192.168.98.1","2"
"2020-04-17 17:18:29","192.168.98.1","1"
"2020-04-17 17:18:31","192.168.98.1","-1"
"2020-04-17 17:18:36","192.168.98.1","2"
"2020-04-17 17:18:37","192.168.98.1","26"
"2020-04-17 17:18:39","192.168.98.1","2"
"2020-04-17 17:18:40","192.168.98.1","2"
"2020-04-17 17:18:42","192.168.98.1","8"
